Please provide a delta value: 0.01
i,	x[i],	Artanh1_x[i],	Artanh2_x[i],	difference
0,	-0.900000,	-1.444090,	-1.472219,	-2.812940758e-02
1,	-0.890000,	-1.400646,	-1.421926,	-2.127968256e-02
2,	-0.880000,	-1.352928,	-1.375768,	-2.283983388e-02
3,	-0.870000,	-1.315292,	-1.333080,	-1.778745433e-02
4,	-0.860000,	-1.279470,	-1.293345,	-1.387480862e-02
5,	-0.850000,	-1.239495,	-1.256153,	-1.665802827e-02
6,	-0.840000,	-1.207832,	-1.221174,	-1.334198395e-02
7,	-0.830000,	-1.177445,	-1.188136,	-1.069092403e-02
8,	-0.820000,	-1.148250,	-1.156817,	-8.567859293e-03
9,	-0.810000,	-1.115193,	-1.127029,	-1.183556150e-02
10,	-0.800000,	-1.088884,	-1.098612,	-9.728195380e-03
11,	-0.790000,	-1.063438,	-1.071432,	-7.993279321e-03
12,	-0.780000,	-1.038806,	-1.045371,	-6.564243906e-03
13,	-0.770000,	-1.014941,	-1.020328,	-5.386859881e-03
14,	-0.760000,	-0.987357,	-0.996215,	-8.858574533e-03
15,	-0.750000,	-0.965498,	-0.972955,	-7.457267434e-03
16,	-0.740000,	-0.944207,	-0.950479,	-6.272230656e-03
17,	-0.730000,	-0.923457,	-0.928727,	-5.270313757e-03
18,	-0.720000,	-0.903221,	-0.907645,	-4.423550440e-03
19,	-0.710000,	-0.883476,	-0.887184,	-3.708302916e-03
20,	-0.700000,	-0.864196,	-0.867301,	-3.104560250e-03
21,	-0.690000,	-0.845360,	-0.847956,	-2.595359865e-03
22,	-0.680000,	-0.823494,	-0.829114,	-5.620430534e-03
23,	-0.670000,	-0.805915,	-0.810743,	-4.828130566e-03
24,	-0.660000,	-0.788672,	-0.792814,	-4.141893634e-03
25,	-0.650000,	-0.771751,	-0.775299,	-3.548044338e-03
26,	-0.640000,	-0.755139,	-0.758174,	-3.034651283e-03
27,	-0.630000,	-0.738825,	-0.741416,	-2.591298022e-03
28,	-0.620000,	-0.722796,	-0.725005,	-2.208886437e-03
29,	-0.610000,	-0.707042,	-0.708921,	-1.879467451e-03
30,	-0.600000,	-0.691551,	-0.693147,	-1.596094846e-03
31,	-0.590000,	-0.676313,	-0.677666,	-1.352698704e-03
32,	-0.580000,	-0.661319,	-0.662463,	-1.143975582e-03
33,	-0.570000,	-0.646558,	-0.647523,	-9.652929828e-04
34,	-0.560000,	-0.632021,	-0.632833,	-8.126061225e-04
35,	-0.550000,	-0.617699,	-0.618381,	-6.823852635e-04
36,	-0.540000,	-0.601671,	-0.604156,	-2.484302482e-03
37,	-0.530000,	-0.587990,	-0.590145,	-2.155583315e-03
38,	-0.520000,	-0.574473,	-0.576340,	-1.866340996e-03
39,	-0.510000,	-0.561118,	-0.562730,	-1.612264332e-03
40,	-0.500000,	-0.547917,	-0.549306,	-1.389477667e-03
41,	-0.490000,	-0.534866,	-0.536060,	-1.194498297e-03
42,	-0.480000,	-0.521960,	-0.522984,	-1.024198231e-03
43,	-0.470000,	-0.509195,	-0.510070,	-8.757698066e-04
44,	-0.460000,	-0.496565,	-0.497311,	-7.466947187e-04
45,	-0.450000,	-0.484066,	-0.484700,	-6.347160941e-04
46,	-0.440000,	-0.471693,	-0.472231,	-5.378132738e-04
47,	-0.430000,	-0.459443,	-0.459897,	-4.541790193e-04
48,	-0.420000,	-0.447310,	-0.447692,	-3.821988874e-04
49,	-0.410000,	-0.435291,	-0.435611,	-3.204325496e-04
50,	-0.400000,	-0.423381,	-0.423649,	-2.675968603e-04
51,	-0.390000,	-0.411577,	-0.411800,	-2.225504987e-04
52,	-0.380000,	-0.399875,	-0.400060,	-1.842800294e-04
53,	-0.370000,	-0.388271,	-0.388423,	-1.518872450e-04
54,	-0.360000,	-0.376761,	-0.376886,	-1.245776682e-04
55,	-0.350000,	-0.365342,	-0.365444,	-1.016501047e-04
56,	-0.340000,	-0.354010,	-0.354093,	-8.248714891e-05
57,	-0.330000,	-0.342762,	-0.342828,	-6.654655539e-05
58,	-0.320000,	-0.331594,	-0.331647,	-5.335339847e-05
59,	-0.310000,	-0.319930,	-0.320545,	-6.150759686e-04
60,	-0.300000,	-0.309000,	-0.309520,	-5.196042031e-04
61,	-0.290000,	-0.298130,	-0.298566,	-4.365969935e-04
62,	-0.280000,	-0.287317,	-0.287682,	-3.647391184e-04
63,	-0.270000,	-0.276561,	-0.276864,	-3.028226551e-04
64,	-0.260000,	-0.265859,	-0.266108,	-2.497402070e-04
65,	-0.250000,	-0.255208,	-0.255413,	-2.044785497e-04
66,	-0.240000,	-0.244608,	-0.244774,	-1.661126594e-04
67,	-0.230000,	-0.234056,	-0.234189,	-1.338000927e-04
68,	-0.220000,	-0.223549,	-0.223656,	-1.067756885e-04
69,	-0.210000,	-0.213087,	-0.213171,	-8.434656486e-05
70,	-0.200000,	-0.202667,	-0.202733,	-6.588738742e-05
71,	-0.190000,	-0.192286,	-0.192337,	-5.083588621e-05
72,	-0.180000,	-0.181944,	-0.181983,	-3.868860071e-05
73,	-0.170000,	-0.171638,	-0.171667,	-2.899683391e-05
74,	-0.160000,	-0.161365,	-0.161387,	-2.136279819e-05
75,	-0.150000,	-0.151125,	-0.151140,	-1.543593647e-05
76,	-0.140000,	-0.140915,	-0.140926,	-1.090940383e-05
77,	-0.130000,	-0.130732,	-0.130740,	-7.516695545e-06
78,	-0.120000,	-0.120576,	-0.120581,	-5.028408444e-06
79,	-0.110000,	-0.110444,	-0.110447,	-3.249123430e-06
80,	-0.100000,	-0.100333,	-0.100335,	-2.014397742e-06
81,	-0.090000,	-0.090243,	-0.090244,	-1.187856147e-06
82,	-0.080000,	-0.080171,	-0.080171,	-6.583709231e-07
83,	-0.070000,	-0.070114,	-0.070115,	-3.373209917e-07
84,	-0.060000,	-0.060072,	-0.060072,	-1.559210316e-07
85,	-0.050000,	-0.050042,	-0.050042,	-6.261182460e-08
86,	-0.040000,	-0.040021,	-0.040021,	-2.050343488e-08
87,	-0.030000,	-0.030009,	-0.030009,	-4.863126474e-09
88,	-0.020000,	-0.020003,	-0.020003,	-6.401829102e-10
89,	-0.010000,	-0.010000,	-0.010000,	-2.000142933e-11
90,	0.000000,	0.000000,	0.000000,	0.000000000e+00
91,	0.010000,	0.010000,	0.010000,	2.000142933e-11
92,	0.020000,	0.020003,	0.020003,	6.401829102e-10
93,	0.030000,	0.030009,	0.030009,	4.863126474e-09
94,	0.040000,	0.040021,	0.040021,	2.050343488e-08
95,	0.050000,	0.050042,	0.050042,	6.261182460e-08
96,	0.060000,	0.060072,	0.060072,	1.559210317e-07
97,	0.070000,	0.070114,	0.070115,	3.373209917e-07
98,	0.080000,	0.080171,	0.080171,	6.583709231e-07
99,	0.090000,	0.090243,	0.090244,	1.187856147e-06
100,	0.100000,	0.100333,	0.100335,	2.014397742e-06
101,	0.110000,	0.110444,	0.110447,	3.249123430e-06
102,	0.120000,	0.120576,	0.120581,	5.028408444e-06
103,	0.130000,	0.130732,	0.130740,	7.516695545e-06
104,	0.140000,	0.140915,	0.140926,	1.090940383e-05
105,	0.150000,	0.151125,	0.151140,	1.543593647e-05
106,	0.160000,	0.161365,	0.161387,	2.136279819e-05
107,	0.170000,	0.171638,	0.171667,	2.899683391e-05
108,	0.180000,	0.181944,	0.181983,	3.868860071e-05
109,	0.190000,	0.192286,	0.192337,	5.083588621e-05
110,	0.200000,	0.202667,	0.202733,	6.588738742e-05
111,	0.210000,	0.213087,	0.213171,	8.434656486e-05
112,	0.220000,	0.223549,	0.223656,	1.067756885e-04
113,	0.230000,	0.234056,	0.234189,	1.338000927e-04
114,	0.240000,	0.244608,	0.244774,	1.661126594e-04
115,	0.250000,	0.255208,	0.255413,	2.044785497e-04
116,	0.260000,	0.265859,	0.266108,	2.497402070e-04
117,	0.270000,	0.276561,	0.276864,	3.028226551e-04
118,	0.280000,	0.287317,	0.287682,	3.647391184e-04
119,	0.290000,	0.298130,	0.298566,	4.365969935e-04
120,	0.300000,	0.309000,	0.309520,	5.196042031e-04
121,	0.310000,	0.319930,	0.320545,	6.150759686e-04
122,	0.320000,	0.331594,	0.331647,	5.335339847e-05
123,	0.330000,	0.342762,	0.342828,	6.654655539e-05
124,	0.340000,	0.354010,	0.354093,	8.248714891e-05
125,	0.350000,	0.365342,	0.365444,	1.016501047e-04
126,	0.360000,	0.376761,	0.376886,	1.245776682e-04
127,	0.370000,	0.388271,	0.388423,	1.518872450e-04
128,	0.380000,	0.399875,	0.400060,	1.842800294e-04
129,	0.390000,	0.411577,	0.411800,	2.225504987e-04
130,	0.400000,	0.423381,	0.423649,	2.675968603e-04
131,	0.410000,	0.435291,	0.435611,	3.204325496e-04
132,	0.420000,	0.447310,	0.447692,	3.821988874e-04
133,	0.430000,	0.459443,	0.459897,	4.541790193e-04
134,	0.440000,	0.471693,	0.472231,	5.378132738e-04
135,	0.450000,	0.484066,	0.484700,	6.347160941e-04
136,	0.460000,	0.496565,	0.497311,	7.466947187e-04
137,	0.470000,	0.509195,	0.510070,	8.757698066e-04
138,	0.480000,	0.521960,	0.522984,	1.024198231e-03
139,	0.490000,	0.534866,	0.536060,	1.194498297e-03
140,	0.500000,	0.547917,	0.549306,	1.389477667e-03
141,	0.510000,	0.561118,	0.562730,	1.612264332e-03
142,	0.520000,	0.574473,	0.576340,	1.866340996e-03
143,	0.530000,	0.587990,	0.590145,	2.155583315e-03
144,	0.540000,	0.601671,	0.604156,	2.484302482e-03
145,	0.550000,	0.617699,	0.618381,	6.823852635e-04
146,	0.560000,	0.632021,	0.632833,	8.126061225e-04
147,	0.570000,	0.646558,	0.647523,	9.652929828e-04
148,	0.580000,	0.661319,	0.662463,	1.143975582e-03
149,	0.590000,	0.676313,	0.677666,	1.352698704e-03
150,	0.600000,	0.691551,	0.693147,	1.596094846e-03
151,	0.610000,	0.707042,	0.708921,	1.879467451e-03
152,	0.620000,	0.722796,	0.725005,	2.208886437e-03
153,	0.630000,	0.738825,	0.741416,	2.591298022e-03
154,	0.640000,	0.755139,	0.758174,	3.034651283e-03
155,	0.650000,	0.771751,	0.775299,	3.548044338e-03
156,	0.660000,	0.788672,	0.792814,	4.141893634e-03
157,	0.670000,	0.805915,	0.810743,	4.828130566e-03
158,	0.680000,	0.823494,	0.829114,	5.620430534e-03
159,	0.690000,	0.845360,	0.847956,	2.595359865e-03
160,	0.700000,	0.864196,	0.867301,	3.104560250e-03
161,	0.710000,	0.883476,	0.887184,	3.708302916e-03
162,	0.720000,	0.903221,	0.907645,	4.423550440e-03
163,	0.730000,	0.923457,	0.928727,	5.270313757e-03
164,	0.740000,	0.944207,	0.950479,	6.272230656e-03
165,	0.750000,	0.965498,	0.972955,	7.457267434e-03
166,	0.760000,	0.987357,	0.996215,	8.858574533e-03
167,	0.770000,	1.014941,	1.020328,	5.386859881e-03
168,	0.780000,	1.038806,	1.045371,	6.564243906e-03
169,	0.790000,	1.063438,	1.071432,	7.993279321e-03
170,	0.800000,	1.088884,	1.098612,	9.728195380e-03
171,	0.810000,	1.115193,	1.127029,	1.183556150e-02
172,	0.820000,	1.148250,	1.156817,	8.567859293e-03
173,	0.830000,	1.177445,	1.188136,	1.069092403e-02
174,	0.840000,	1.207832,	1.221174,	1.334198395e-02
175,	0.850000,	1.239495,	1.256153,	1.665802827e-02
176,	0.860000,	1.279470,	1.293345,	1.387480862e-02
177,	0.870000,	1.315292,	1.333080,	1.778745433e-02
178,	0.880000,	1.352928,	1.375768,	2.283983388e-02
179,	0.890000,	1.400646,	1.421926,	2.127968256e-02
180,	0.900000,	1.444090,	1.472219,	2.812940758e-02
